"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"USA",2017,2311358.030430112043348846,1041739276.9381972375774651
"UZB",2017,1.6941330467187499,455.38675914068144
"VCT",2017,30.79834999634818614,18100.347333959031694
"VEN",2017,166982.30201222850720228,82296039.4843888403746366
"VGB",2017,229.36256174673625250,97283.490607268222155
"VIR",2017,1126.42514876554118743,589999.933922322036318
"VNM",2017,286940.29223712758407764,222012145.984558327566432
"VUT",2017,436.09194112168102656,255713.637259897301101
"XAD",2017,1.33482045290147625,650.8536723167047
"XCA",2017,6.90904684814235969,20.430993972083832
"XKO",2017,626.362109961319539692,337728.3846157380168418
"XNC",2017,27.6578282729253488,8122.7214892837984199
"ZAF",2017,94055.92503461426518506,58752908.3384985274634563
"ZMB",2017,162681.47358274369039300,58416507.003070460369704
"ZWE",2017,25978.30455489677356752,14478854.3467684442147900
"ABW",2018,0.30063088600857207,153.489394577557209
"AFG",2018,25.70584525390192489,4868.951867456453937
"AGO",2018,242552.49738953755776323,88134036.634103587499197
"AIA",2018,0.2194748151323785,84.02995717261251
"ALA",2018,619.70668877278162702,180669.205206454939880
"ALB",2018,2048.769228122957519181,728210.4172272450151907
"AND",2018,14.888213633726128884,7353.935306702295828
"ARG",2018,172958.094577020651596639,45878754.1755597203394031
"ARM",2018,5.90252185319227485,2062.468930380998106
"ATG",2018,162.81460598863826954,57034.510588113575520
"AUS",2018,250750.698723339559331566,76841840.9275413619557206
"AUT",2018,26310.092943686744060379,14950812.0430304481981555
"AZE",2018,75.328639755670631344,23390.278397389293089
"BDI",2018,2874.57519478758788112,1485998.062013824346622
"BEL",2018,4630.608123143861295881,2590213.9651935411032678
"BEN",2018,1825.97080777044785632,799479.694463021386642
"BES",2018,0.44077927154405383,166.27748089321375
"BFA",2018,0.0,1079.429004178158306
"BGD",2018,19342.87284894120468183,10566765.513008895058314
"BGR",2018,9753.980071150567648050,4692253.5806306876396003
"BHS",2018,913.74907637080791184,382012.217155635786948
"BIH",2018,2673.670805093884972222,1465730.5170614772054101
"BLR",2018,87446.570211685146118057,33351586.0728145653257915
"BLZ",2018,11163.66631754363571669,5341945.607699842584861
"BOL",2018,301855.81806080529468325,137488883.884211310866731
"BRA",2018,2948462.08026938044983771,1814375336.2167957889568003
"BRB",2018,22.63424414733722770,8486.51665087767189
"BRN",2018,806.63443083423328023,501599.762101106385312
"BTN",2018,1240.06448959203715995,676746.404474672432462
"BWA",2018,2.62494387281141509,680.825878670119674
"CAF",2018,40912.99304046651843714,18702444.647604094347818
"CAN",2018,2142937.380732710281386436,821183152.3986507970653224
"CHE",2018,3134.386774605056323692,1798115.9779146704683948
"CHL",2018,76897.640002453826851387,40731425.8581867872486962
"CHN",2018,569452.973580662611358665,276689571.4598574093099577
"CIV",2018,324739.87777414171994774,181836180.655075930029579
"CMR",2018,120813.96433339973548743,75223420.926280179482505
"COD",2018,1373807.41228497116290762,883517130.777253998595484
"COG",2018,62697.90587473568809415,38960883.795909112466262
"COL",2018,352434.01027582505191361,205255762.011961474416471
"COM",2018,218.15903529950493892,110443.047800984476976
"CPV",2018,10.85679030350314526,0.0
"CRI",2018,12337.85886809865361738,7068727.450200438978111
"CUB",2018,14955.10306669445972936,7259171.5237410151878165
"CUW",2018,0.75222388673773867,271.3600665318732
"CYM",2018,42.38853785286677948,14386.156377498329287
"CYP",2018,32.45037143414713794,6834.805271341095195
"CZE",2018,39206.389179754059159877,21677395.3574064707035435
"DEU",2018,52237.225455555887844916,30013752.991319990568727
"DMA",2018,778.56520479542249930,467939.777056085184998
"DNK",2018,3161.625253422650346761,1140664.3726359328866995
"DOM",2018,13970.42863240023553551,6557795.539023310297570
"DZA",2018,5763.909736466066030413,1784479.8625033944863554
"ECU",2018,38709.38273219661975536,26548967.9275465723510455
"EGY",2018,62.73815149738499675,14538.297137212567862
"ESP",2018,119649.002251496346149914,52081575.2749243454461564
"EST",2018,40038.158930027817060954,12816559.9826446067329235
"ETH",2018,18894.24322274953088639,9360411.3334605201378477
"FIN",2018,269954.799173452859701496,61890841.7243318847246811
"FJI",2018,1366.93536312733320976,750139.392720196703969
"FRA",2018,69201.435790916125116032,35768538.999451178564753
"GAB",2018,26788.05632141569925345,17233009.367003177806021
"GBR",2018,26251.466901849001685255,12124346.8553447050227760
"GEO",2018,300.049159958878082426,110485.1508254009086760
